shop,type,num_malls,num_outlets,malls
Dabba Street,F&B,7,7,"AMK Hub, Bugis Junction (Part of Bugis Town), Hougang Mall, Jurong Point, Northpoint City, Tiong Bahru Plaza, White Sands"
Food Republic,F&B,7,7,"313@somerset, Causeway Point, City Square Mall, Jewel Changi Airport, Suntec City, VivoCity, Wisma Atria"
Henri Charpentier,F&B,7,7,"Great World, Ngee Ann City, Orchard Central, PLQ Mall, Paragon, VivoCity, Waterway Point"
IPPUDO,F&B,7,7,"CQ @ Clarke Quay, City Square Mall, Mandarin Gallery, One Holland Village, Raffles City Shopping Centre, Sengkang Grand Mall, Westgate"
Kei Kaisendon,F&B,7,7,"AMK Hub, Great World, Jewel Changi Airport, Marina Square, Square 2, Suntec City, VivoCity"
Kopitiam,F&B,7,7,"AMK Hub, Hougang 1, Jurong Point, Northpoint City, Plaza Singapura, Tampines Mall, Tiong Bahru Plaza"
Kuriya Japanese Market,F&B,7,7,"AMK Hub, Great World, Jurong Point, Northpoint City, Paragon, Tampines 1, Waterway Point"
Long John Silver's,F&B,7,7,"Junction 8, Jurong Point, Northpoint City, Suntec City, Tiong Bahru Plaza, Westgate, White Sands"
MIXUE,F&B,7,7,"AMK Hub, Century Square, Hougang Mall, Jurong Point, Northpoint City, Swing By @ Thomson Plaza, West Coast Plaza"
Maki-San,F&B,7,7,"AMK Hub, Century Square, Great World, Hougang 1, Lot One Shoppers' Mall, Northpoint City, White Sands"
Malaysia Boleh!,F&B,7,7,"AMK Hub, Bugis Junction (Part of Bugis Town), Great World, Jurong Point, Northpoint City, Tampines 1, The Centrepoint"
Mincheng Bibimbap,F&B,7,7,"AMK Hub, Bugis Junction (Part of Bugis Town), Funan, Northpoint City, Tiong Bahru Plaza, VivoCity, Westgate"
Nan Yang Dao,F&B,7,7,"Bugis+ (Part of Bugis Town), Century Square, Jem, Jurong Point, PLQ Mall, Swing By @ Thomson Plaza, Tiong Bahru Plaza"
PastaMania,F&B,7,7,"Causeway Point, City Square Mall, Hougang 1, Jem, Lot One Shoppers' Mall, Northpoint City, Tampines Mall"
Tim Ho Wan,F&B,7,7,"Aperia Mall, Great World, Jewel Changi Airport, Plaza Singapura, Tampines 1, Waterway Point, Westgate"
Tiong Bahru Bakery,F&B,7,7,"Jem, Plaza Singapura, Raffles City Shopping Centre, Tampines 1, The Centrepoint, VivoCity, Wisma Atria"
Yakiniku Shokudo,F&B,7,7,"Bedok Mall, Funan, IMM Building, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Square 2"
4FINGERS Crispy Chicken,F&B,6,6,"Causeway Point, Jem, Jurong Point, Tampines 1, Tiong Bahru Plaza, VivoCity"
